name,surname,gender,age,country,contact,languages,studies
Geoffry,Gosson,Male,21,Ukraine,"{'email': ['ggosson1y@upenn.edu', 'ggosson1y@github.io'], 'phone': '806 503 668'}",['Spanish'],"{'semester': 6, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [3, 5]}, {'name': 'mathematics', 'grades': [2, 5, 3]}, {'name': 'economics', 'grades': [4, 5]}, {'name': 'statistics', 'grades': [3, 3, 3]}, {'name': 'english', 'grades': [4, 4, 4]}]}"

Vilma,Mussotti,Female,25,Poland,"{'email': [], 'phone': '890 292 299'}",[],"{'semester': 2, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [3, 5, 3]}, {'name': 'mathematics', 'grades': [5, 3, 3, 2]}, {'name': 'economics', 'grades': [3, 4]}]}"

Dorrie,Keneleyside,Female,18,Poland,"{'email': ['dkeneleyside20@admin.ch', 'dkeneleyside20@patch.com'], 'phone': '829 788 435'}","['English', 'French', 'Spanish']","{'semester': 4, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 5, 5, 5]}, {'name': 'mathematics', 'grades': [5, 4, 3, 2]}, {'name': 'economics', 'grades': [2, 3, 2, 4, 3]}, {'name': 'statistics', 'grades': [2, 3]}]}"

Sibyl,Hebblewhite,Female,23,Ukraine,"{'email': [], 'phone': '602 903 554'}",[],"{'semester': 3, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 4]}, {'name': 'mathematics', 'grades': [4, 5, 2, 5]}, {'name': 'economics', 'grades': [3, 3, 2, 4]}]}"

Babette,Woolager,Female,22,Poland,"{'email': ['bwoolager22@macromedia.com', 'bwoolager22@loc.gov'], 'phone': '870 354 576'}",[],"{'semester': 4, 'field': 'Business Administration', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 5, 2]}, {'name': 'mathematics', 'grades': [5, 5, 5, 3, 4]}, {'name': 'economics', 'grades': [3, 5, 2, 3, 4]}]}"

Portie,Oscroft,Male,23,Ukraine,"{'email': ['poscroft23@homestead.com'], 'phone': '846 821 169'}",['Spanish'],"{'semester': 5, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 5, 3, 4, 5]}, {'name': 'mathematics', 'grades': [4, 2]}, {'name': 'economics', 'grades': [3, 5, 2, 4, 2]}, {'name': 'statistics', 'grades': [5, 2]}, {'name': 'english', 'grades': [3, 2]}]}"

Leroi,O' Gara,Male,20,Poland,"{'email': ['logara24@bravesites.com'], 'phone': '528 663 537'}","['Spanish', 'Ukrainian']","{'semester': 1, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 4, 4, 2]}, {'name': 'mathematics', 'grades': [5, 3]}]}"

Orville,Thirsk,Male,19,Poland,"{'email': ['othirsk25@mtv.com', 'othirsk25@ucoz.ru'], 'phone': '884 800 192'}",['Spanish'],"{'semester': 5, 'field': 'Law', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [5, 4, 4]}, {'name': 'mathematics', 'grades': [4, 3, 5, 3, 5]}, {'name': 'economics', 'grades': [2, 4, 5, 2, 5]}, {'name': 'statistics', 'grades': [4, 3, 5, 3, 3]}]}"

Adrienne,Feragh,Female,24,Ukraine,"{'email': [], 'phone': '675 956 758'}",[],"{'semester': 6, 'field': 'Law', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [3, 4]}, {'name': 'mathematics', 'grades': [2, 4, 5, 5]}, {'name': 'economics', 'grades': [3, 5, 5, 3]}, {'name': 'statistics', 'grades': [3, 4, 2, 2, 4]}, {'name': 'english', 'grades': [3, 5, 4, 3]}]}"

Felita,Lung,Female,22,Ukraine,"{'email': ['flung27@marriott.com'], 'phone': '613 092 214'}","['Ukrainian', 'English', 'Spanish']","{'semester': 3, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [5, 3]}, {'name': 'mathematics', 'grades': [2, 2, 3, 5]}]}"

Megan,Filipson,Female,18,Poland,"{'email': ['mfilipson28@nba.com'], 'phone': '876 003 376'}","['German', 'English']","{'semester': 2, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [5, 5]}, {'name': 'mathematics', 'grades': [5, 5, 4]}, {'name': 'economics', 'grades': [4, 3, 4]}, {'name': 'statistics', 'grades': [5, 2, 5, 4, 2]}, {'name': 'english', 'grades': [3, 2, 3]}]}"

Montgomery,Jowsey,Male,19,Poland,"{'email': ['mjowsey29@symantec.com', 'mjowsey29@columbia.edu'], 'phone': '808 174 614'}",[],"{'semester': 6, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 4, 5, 4]}, {'name': 'mathematics', 'grades': [3, 2]}]}"

Rolph,Earl,Male,24,Czech Republic,"{'email': ['rearl2a@comsenz.com', 'rearl2a@live.com'], 'phone': '617 341 741'}","['French', 'Ukrainian', 'Spanish']","{'semester': 4, 'field': 'Applied Informatics', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [3, 5, 2]}, {'name': 'mathematics', 'grades': [2, 2, 3, 5]}, {'name': 'economics', 'grades': [3, 2, 2, 3, 2]}, {'name': 'statistics', 'grades': [5, 4, 5, 5]}, {'name': 'english', 'grades': [5, 3]}]}"

Torry,Charer,Male,21,Poland,"{'email': ['tcharer2b@dedecms.com', 'tcharer2b@technorati.com'], 'phone': '523 194 272'}","['Spanish', 'German']","{'semester': 5, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [2, 5, 4]}, {'name': 'mathematics', 'grades': [5, 4, 2]}, {'name': 'economics', 'grades': [3, 2]}, {'name': 'statistics', 'grades': [2, 4]}]}"

Brendon,Went,Male,19,Ukraine,"{'email': [], 'phone': '609 128 833'}",[],"{'semester': 3, 'field': 'Law', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 3, 5, 3, 2]}, {'name': 'mathematics', 'grades': [3, 2]}, {'name': 'economics', 'grades': [4, 4, 5]}, {'name': 'statistics', 'grades': [4, 4, 2, 4, 2]}]}"

Orella,MacKomb,Female,18,Ukraine,"{'email': [], 'phone': '804 578 059'}","['Spanish', 'English', 'Ukrainian']","{'semester': 2, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [3, 2, 5]}, {'name': 'mathematics', 'grades': [5, 3, 5]}]}"

Granville,Hedin,Male,23,Poland,"{'email': ['ghedin2e@state.gov', 'ghedin2e@squarespace.com'], 'phone': '517 441 321'}","['Spanish', 'French', 'English']","{'semester': 2, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 3]}, {'name': 'mathematics', 'grades': [3, 2]}, {'name': 'economics', 'grades': [4, 3, 3, 2, 3]}, {'name': 'statistics', 'grades': [4, 5, 5, 4]}, {'name': 'english', 'grades': [5, 4]}]}"

Ikey,Shoppee,Male,23,Poland,"{'email': ['ishoppee2f@utexas.edu'], 'phone': '575 597 320'}",[],"{'semester': 1, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 2]}, {'name': 'mathematics', 'grades': [4, 5, 2, 2, 5]}]}"

Orbadiah,Drewry,Male,23,Czech Republic,"{'email': [], 'phone': '590 999 122'}",['German'],"{'semester': 1, 'field': 'Finance', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [5, 4]}, {'name': 'mathematics', 'grades': [2, 4, 5, 2, 3]}, {'name': 'economics', 'grades': [4, 2, 3, 2]}, {'name': 'statistics', 'grades': [4, 3, 4]}]}"

Dayle,Dennington,Female,21,Ukraine,"{'email': ['ddennington2h@gravatar.com', 'ddennington2h@arizona.edu'], 'phone': '662 846 544'}",['English'],"{'semester': 3, 'field': 'Finance', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 5]}, {'name': 'mathematics', 'grades': [3, 5, 2, 5, 3]}, {'name': 'economics', 'grades': [3, 2]}]}"

Angelo,McShirrie,Male,18,Poland,"{'email': ['amcshirrie2i@hud.gov'], 'phone': '828 113 310'}",[],"{'semester': 3, 'field': 'Law', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [3, 3, 4]}, {'name': 'mathematics', 'grades': [3, 5, 2, 2, 2]}, {'name': 'economics', 'grades': [5, 3, 3]}]}"

Rance,Pecey,Male,19,Czech Republic,"{'email': ['rpecey2j@hexun.com', 'rpecey2j@free.fr'], 'phone': '502 395 875'}",['German'],"{'semester': 3, 'field': 'Finance', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [2, 4, 2, 5, 4]}, {'name': 'mathematics', 'grades': [3, 2, 5, 3]}, {'name': 'economics', 'grades': [3, 5, 4, 4, 2]}, {'name': 'statistics', 'grades': [5, 2]}, {'name': 'english', 'grades': [4, 4, 2]}]}"

Dru,Taplow,Female,21,Poland,"{'email': ['dtaplow2k@oakley.com', 'dtaplow2k@accuweather.com'], 'phone': '543 476 939'}",['German'],"{'semester': 2, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [5, 4, 5]}, {'name': 'mathematics', 'grades': [3, 3, 3]}]}"

Cassius,de Chastelain,Male,20,Lithuania,"{'email': ['cdechastelain2l@squidoo.com', 'cdechastelain2l@ovh.net'], 'phone': '563 838 623'}",['French'],"{'semester': 1, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 2, 3]}, {'name': 'mathematics', 'grades': [2, 2, 5, 4, 2]}, {'name': 'economics', 'grades': [3, 4, 4, 3]}, {'name': 'statistics', 'grades': [5, 4]}]}"

Isiahi,Sterley,Male,23,Czech Republic,"{'email': ['isterley2m@deliciousdays.com'], 'phone': '507 736 439'}",[],"{'semester': 4, 'field': 'Finance', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 2, 5]}, {'name': 'mathematics', 'grades': [2, 5, 3, 4, 3]}]}"

Glenn,Eastham,Male,19,Poland,"{'email': ['geastham2n@wp.com', 'geastham2n@chicagotribune.com'], 'phone': '638 741 471'}",['French'],"{'semester': 3, 'field': 'Applied Informatics', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 5, 4, 2, 3]}, {'name': 'mathematics', 'grades': [3, 5, 5, 2]}, {'name': 'economics', 'grades': [2, 2]}, {'name': 'statistics', 'grades': [2, 3, 3, 5, 4]}, {'name': 'english', 'grades': [2, 3, 5]}]}"

Jeanine,Vanyashin,Female,23,Poland,"{'email': ['jvanyashin2o@rakuten.co.jp', 'jvanyashin2o@va.gov'], 'phone': '877 554 591'}",['Ukrainian'],"{'semester': 2, 'field': 'Accounting', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [4, 5, 5]}, {'name': 'mathematics', 'grades': [5, 5, 5, 3, 2]}, {'name': 'economics', 'grades': [4, 2, 5, 2, 5]}]}"

Vassily,Sloley,Male,23,Ukraine,"{'email': [], 'phone': '859 259 707'}","['French', 'Ukrainian', 'English']","{'semester': 5, 'field': 'Finance', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [5, 3, 3]}, {'name': 'mathematics', 'grades': [4, 2]}]}"

Ingar,Jagiello,Male,24,Czech Republic,"{'email': [], 'phone': '501 533 408'}","['English', 'Spanish', 'German']","{'semester': 6, 'field': 'Finance', 'fulltime': 'yes', 'courses': [{'name': 'programming', 'grades': [3, 2, 2]}, {'name': 'mathematics', 'grades': [4, 5]}]}"

Nels,De Maria,Male,23,Ukraine,"{'email': ['ndemaria2r@oakley.com', 'ndemaria2r@wix.com'], 'phone': '893 683 356'}","['French', 'Ukrainian', 'English']","{'semester': 1, 'field': 'Business Administration', 'fulltime': 'no', 'courses': [{'name': 'programming', 'grades': [4, 3]}, {'name': 'mathematics', 'grades': [3, 4, 3, 2, 4]}, {'name': 'economics', 'grades': [3, 5, 5, 5, 2]}, {'name': 'statistics', 'grades': [2, 4, 5, 4]}]}"

